win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
0,1760725354.1051786,1760725354.20515,99.97129440307617,81,17,1.2496448376374691,1.608965549208806,3.4093631695728717,8.0,7767.893325617284,2.3703703703703702,4.270034678913288,0,12,33.93827160493827,83.21300137005426,0,255,202.69135802469137,43.11816722762401,73,225,63.098765432098766,76.66644201871621,0,255,127.81481481481481,75.94736824593875,3,247,127.81481481481481,73.57353105485213,11,252,141.20987654320987,72.98413763893042,32,254,136.33333333333334,70.23030895771635,0,238,can_log_3.csv,0
1,1760725354.205371,1760725354.3051558,99.78485107421875,80,17,1.2500733137130737,1.6186942597044336,3.41524101186092,8.0,7635.569140625,2.4,4.288356328478313,0,12,34.3875,83.64007618211505,0,255,202.475,43.32435083183588,73,225,56.2875,57.77222380824543,7,205,118.075,75.84948500154766,3,247,119.775,64.44396306094156,4,233,163.6375,76.88778247387553,2,255,124.4375,74.90658244607079,0,253,can_log_3.csv,0
2,1760725354.3053775,1760725354.4002182,94.84076499938965,79,17,1.2033227123791659,1.5849372892740157,3.4196666886046656,8.0,7471.56289556962,2.430379746835443,4.306849253073959,0,12,34.835443037974684,84.07552818741955,0,255,202.18987341772151,43.523040878662755,73,225,65.12658227848101,55.31254512145369,17,206,128.20253164556962,73.66024978680198,3,252,111.62025316455696,78.80890263233668,0,253,121.65822784810126,80.29027812516559,1,253,125.86075949367088,74.4625866768879,16,255,can_log_3.csv,0
3,1760725354.4052072,1760725354.500285,95.0777530670166,80,17,1.25083327293396,1.6216438119268413,3.41524101186092,8.0,6970.3287109375,2.4,4.288356328478313,0,12,34.4125,83.63577191459406,0,255,202.475,43.32435083183588,73,225,73.9125,52.182418914323996,27,207,133.1875,71.65160391610226,10,253,138.65,75.29460472039146,5,253,105.8625,62.330117870496615,3,223,128.3125,76.51447473354307,22,255,can_log_3.csv,0
4,1760725354.5051978,1760725354.600279,95.08132934570312,80,17,1.249927282333374,1.6326477140127758,3.41524101186092,8.0,7031.9216796875,2.4,4.288356328478313,0,12,34.3875,83.64022563186933,0,255,202.475,43.32435083183588,73,225,82.7875,49.41525416053224,37,208,141.2125,75.41447038698874,8,255,117.8,66.38192525077892,5,250,104.075,69.7794337537931,1,255,136.225,70.8955173124507,10,247,can_log_3.csv,0
5,1760725354.6052237,1760725354.7051568,99.93314743041992,81,17,1.2947865474371263,1.6814437165257885,3.4093631695728717,8.0,7236.257330246914,2.3703703703703702,4.270034678913288,0,12,33.97530864197531,83.20686333702417,0,255,202.7530864197531,43.12786926985803,73,225,91.74074074074075,46.39012713657509,47,209,130.54320987654322,71.84586543302369,1,248,126.75308641975309,71.06935073525578,0,248,168.11111111111111,63.02595977006834,7,254,119.92592592592592,75.87201337954671,2,237,can_log_3.csv,0
6,1760725354.7053857,1760725354.805164,99.77841377258301,80,17,1.2500911951065063,1.6283365207887095,3.41524101186092,8.0,7111.17109375,2.4,4.288356328478313,0,12,34.3875,83.64007618211505,0,255,202.475,43.32435083183588,73,225,100.6625,43.96986006061425,57,210,115.8625,79.63789044010394,2,249,129.325,75.56533183279222,4,253,142.7375,77.58571771756706,0,254,128.0,70.80254232723568,2,236,can_log_3.csv,0
7,1760725354.8053746,1760725354.905169,99.79438781738281,80,17,1.2500613927841187,1.6199074880355375,3.41524101186092,8.0,6584.816015625,2.4,4.288356328478313,0,12,34.3875,83.64007618211505,0,255,202.475,43.32435083183588,73,225,109.5375,41.29949871063812,67,211,115.0625,69.43078275340125,0,245,95.6125,64.71987595592255,0,224,94.4125,74.73799130127863,1,252,123.8125,77.70989218722414,1,251,can_log_3.csv,0
8,1760725354.905368,1760725355.0051498,99.78175163269043,80,17,1.249760389328003,1.6225643422716052,3.41524101186092,8.0,7211.9470703125,2.4,4.288356328478313,0,12,34.4,83.6379997369616,0,255,202.475,43.32435083183588,73,225,118.4125,38.67385866124559,77,212,125.9125,74.62509526794588,0,250,140.0875,73.4045628265028,16,252,142.075,82.26964431064475,8,255,140.75,71.01329100950046,16,254,can_log_3.csv,0
9,1760725355.0053818,1760725355.1051774,99.79557991027832,80,17,1.2503445148468018,1.6150435007333763,3.41524101186092,8.0,7453.7322265625,2.4,4.288356328478313,0,12,34.4125,83.63592137203966,0,255,202.475,43.32435083183588,73,225,127.2875,36.10269856603521,87,213,137.1,71.1541636167554,7,253,117.8125,74.67179751251473,4,255,164.0625,79.92986671920579,3,255,126.1875,76.7136059884425,5,252,can_log_3.csv,0
10,1760725355.105408,1760725355.205173,99.76506233215332,80,17,1.2499451637268066,1.6132447678725466,3.41524101186092,8.0,7000.06015625,2.4,4.288356328478313,0,12,34.3875,83.63992673209376,0,255,202.475,43.32435083183588,73,225,136.1625,33.598528148566274,97,214,136.0375,76.6158344844589,0,255,161.8875,63.13893286831827,8,252,78.8375,59.82504570620903,3,241,120.0375,70.65027313287614,15,254,can_log_3.csv,0
