win,start_time,end_time,duration_ms,total_frames,unique_ids,mean_dt_ms,std_dt_ms,entropy_ids,avg_dlc,avg_payload_var,payload_byte_0_mean,payload_byte_0_std,payload_byte_0_min,payload_byte_0_max,payload_byte_1_mean,payload_byte_1_std,payload_byte_1_min,payload_byte_1_max,payload_byte_2_mean,payload_byte_2_std,payload_byte_2_min,payload_byte_2_max,payload_byte_3_mean,payload_byte_3_std,payload_byte_3_min,payload_byte_3_max,payload_byte_4_mean,payload_byte_4_std,payload_byte_4_min,payload_byte_4_max,payload_byte_5_mean,payload_byte_5_std,payload_byte_5_min,payload_byte_5_max,payload_byte_6_mean,payload_byte_6_std,payload_byte_6_min,payload_byte_6_max,payload_byte_7_mean,payload_byte_7_std,payload_byte_7_min,payload_byte_7_max,file,label
0,1760045917.184597,1760045917.278372,93.77503395080566,80,17,1.1878126911524882,1.8538421425713476,3.41524101186092,8.0,6418.890625,5.725,6.170443663141253,0,15,114.675,118.5611419268556,0,255,189.5,42.301004716200296,46,211,132.6875,36.39319776757739,93,194,133.1875,73.53317172371936,14,255,112.65,74.15121374596642,5,249,136.625,66.155758441726,10,250,123.925,69.01952169495237,7,251,can_log_regular_no_traffic.csv,0
1,1760045917.2846026,1760045917.3783665,93.76382827758789,80,17,1.2499302625656128,1.9416152008280378,3.41524101186092,8.0,6147.6978515625,5.725,6.170443663141253,0,15,114.7875,118.57294102682116,0,255,189.5,42.301004716200296,46,211,141.5625,35.69483287185976,103,195,109.1625,71.45670782893652,1,254,126.425,72.88240099639968,5,254,108.3375,59.296699686829115,13,229,135.3875,72.53679992769189,2,248,can_log_regular_no_traffic.csv,0
2,1760045917.3846073,1760045917.4845915,99.98416900634766,81,17,1.3114199226285204,2.0062193348419974,3.409363169572871,8.0,6371.500771604939,5.839506172839506,6.217174123114324,0,15,116.45679012345678,118.84589558894604,0,255,189.76543209876544,42.10605997409025,46,211,150.09876543209876,35.1475215353911,113,196,132.58024691358025,71.99843348733633,5,253,123.4074074074074,75.42255905407954,0,252,122.53086419753086,63.44533691136312,4,245,119.61728395061728,71.38827373729508,1,255,can_log_regular_no_traffic.csv,0
3,1760045917.4848166,1760045917.584591,99.77436065673828,80,17,1.249992847442627,1.9371827946974176,3.41524101186092,8.0,7023.7501953125,5.725,6.170443663141253,0,15,114.7125,118.56519237849699,0,255,189.5,42.301004716200296,46,211,159.4375,34.91054416290299,123,206,123.3625,75.5819495233485,2,251,133.7125,78.42212598336009,1,250,142.6375,77.41757612939068,3,254,119.45,75.23677624672658,2,255,can_log_regular_no_traffic.csv,0
4,1760045917.584818,1760045917.6845944,99.7765064239502,80,17,1.250043511390686,1.9373285124336561,3.41524101186092,8.0,6565.69921875,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,189.5,42.301004716200296,46,211,168.3125,34.9548257576833,133,216,149.8125,69.15708455212669,9,255,119.6625,69.56237196753715,7,254,132.05,67.88867725917189,16,255,125.0125,76.1295760118891,7,255,can_log_regular_no_traffic.csv,0
5,1760045917.68482,1760045917.7783787,93.55878829956055,79,17,1.1871434465239319,1.8626637149629655,3.4196666886046656,8.0,6665.423259493671,5.6075949367088604,6.119935718862766,0,15,112.9113924050633,118.24831091719683,0,255,189.22784810126583,42.49823506896401,46,211,177.49367088607596,35.36782254160868,143,226,126.36708860759494,74.34629496530475,10,252,129.81012658227849,69.37242657092519,3,254,112.48101265822785,64.33729567027507,17,255,134.27848101265823,73.8628453058777,3,254,can_log_regular_no_traffic.csv,0
6,1760045917.7846029,1760045917.8845952,99.99227523803711,81,17,1.3113139588155864,2.002644341006622,3.409363169572871,8.0,6998.681712962963,5.839506172839506,6.217174123114324,0,15,116.46913580246914,118.84714598647165,0,255,189.76543209876544,42.10605997409025,46,211,185.65432098765433,35.758849545745164,150,236,131.7283950617284,74.97752953026132,4,255,160.60493827160494,66.92222849675208,3,254,147.09876543209876,70.44384944338128,17,252,126.29629629629629,71.51127761261682,2,243,can_log_regular_no_traffic.csv,0
7,1760045917.884819,1760045917.9845865,99.76744651794434,80,17,1.2498915195465088,1.9349617442351847,3.41524101186092,8.0,6995.322265625,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,189.5,42.301004716200296,46,211,194.9375,36.57093919699083,151,246,110.4,67.52140401383846,3,254,103.4375,67.66162940507715,2,250,146.575,73.56252017841695,16,253,125.0,69.51312825646677,7,233,can_log_regular_no_traffic.csv,0
8,1760045917.984812,1760045918.0845869,99.77483749389648,80,17,1.250004768371582,1.9357012754238532,3.41524101186092,8.0,7269.178125,5.725,6.170443663141253,0,15,114.675,118.56114192685561,0,255,189.525,42.30572508538294,46,211,197.4125,48.38225236334084,0,255,131.0125,72.82350131482282,1,250,156.5875,73.64453369904652,2,253,114.55,65.43869268254068,6,242,126.1125,67.29840149476064,0,250,can_log_regular_no_traffic.csv,0
9,1760045918.0848107,1760045918.1845863,99.77555274963379,80,17,1.249992847442627,1.9347061124006002,3.41524101186092,8.0,7298.9794921875,5.725,6.170443663141253,0,15,114.675,118.5611419268556,0,255,189.8625,42.367954797818605,46,211,119.8875,87.60622034850039,0,255,145.425,71.44854354708708,6,249,128.6875,73.90798227356773,3,254,134.325,71.09690130378397,1,245,130.125,71.64327864496431,16,253,can_log_regular_no_traffic.csv,0
